iter	Passed	Remaining
859	11141	1813
860	11157	1801
861	11169	1788
862	11178	1774
863	11198	1762
864	11225	1751
865	11243	1739
866	11257	1726
867	11269	1713
868	11283	1700
869	11296	1688
870	11308	1674
871	11322	1662
872	11337	1649
873	11351	1636
874	11362	1623
875	11373	1609
876	11387	1597
877	11401	1584
878	11417	1571
879	11431	1558
880	11447	1546
881	11458	1532
882	11472	1520
883	11485	1507
884	11497	1494
885	11508	1480
886	11518	1467
887	11530	1454
888	11544	1441
889	11559	1428
890	11572	1415
891	11588	1403
892	11603	1390
893	11617	1377
894	11629	1364
895	11642	1351
896	11654	1338
897	11664	1324
898	11676	1311
899	11690	1298
900	11701	1285
901	11715	1272
902	11730	1260
903	11743	1247
904	11753	1233
905	11764	1220
906	11777	1207
907	11789	1194
908	11803	1181
909	11815	1168
910	11825	1155
911	11837	1142
912	11852	1129
913	11862	1116
914	11874	1103
915	11885	1089
916	11899	1077
917	11912	1064
918	11927	1051
919	11936	1037
920	11946	1024
921	11958	1011
922	11972	998
923	11985	985
924	12001	973
925	12018	960
926	12031	947
927	12042	934
928	12059	921
929	12069	908
930	12084	895
931	12096	882
932	12107	869
933	12117	856
934	12127	843
935	12138	829
936	12150	816
937	12166	804
938	12179	791
939	12191	778
940	12205	765
941	12215	752
942	12230	739
943	12242	726
944	12255	713
945	12264	700
946	12277	687
947	12289	674
948	12301	661
949	12313	648
950	12329	635
951	12343	622
952	12356	609
953	12368	596
954	12378	583
955	12388	570
956	12406	557
957	12416	544
958	12427	531
959	12442	518
960	12457	505
961	12469	492
962	12478	479
963	12491	466
964	12503	453
965	12517	440
966	12530	427
967	12546	414
968	12559	401
969	12573	388
970	12586	375
971	12595	362
972	12606	349
973	12620	336
974	12633	323
975	12647	310
976	12659	298
977	12672	285
978	12686	272
979	12697	259
980	12711	246
981	12724	233
982	12737	220
983	12746	207
984	12758	194
985	12773	181
986	12787	168
987	12797	155
988	12808	142
989	12821	129
990	12832	116
991	12848	103
992	12859	90
993	12873	77
994	12886	64
995	12899	51
996	12913	38
997	12927	25
998	12940	12
999	12950	0
